YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1955   1   1        0.0        3.5        5.0        2.8        0.5    32766.0       90.0        1.7     1005.7    32766.0    32766.0   32766.0       0.1
1955   1   2        0.0        3.9        4.9        2.5        0.3    32766.0       89.0        1.0     1005.5    32766.0    32766.0   32766.0       0.3
1955   1   3        0.0        4.5        5.4        3.5        0.8    32766.0       82.0        0.3     1003.6    32766.0    32766.0   32766.0       0.6
1955   1   4        0.0        3.3        5.0        2.0        1.0    32766.0       78.0        0.4     1010.5    32766.0    32766.0   32766.0       0.9
1955   1   5        3.7        2.6        5.8        1.0        0.3    32766.0       78.0        0.0     1015.1    32766.0    32766.0   32766.0       1.4
1955   1   6        5.2        3.5        7.2       -0.8        0.0    32766.0       82.0        0.0     1009.0    32766.0    32766.0   32766.0       1.7
1955   1   7        0.0        5.8        7.3        4.5        1.3    32766.0       76.0        0.0     1004.6    32766.0    32766.0   32766.0       0.8
1955   1   8        0.0        4.8        6.6        3.4        1.5    32766.0       84.0        0.4     1010.5    32766.0    32766.0   32766.0       0.5
1955   1   9        0.0        4.2        4.9        3.5        0.8    32766.0       92.0        2.6     1014.6    32766.0    32766.0   32766.0       0.0
1955   1  10        0.0        4.0        6.5        2.5        1.8    32766.0       86.0        0.1     1015.4    32766.0    32766.0   32766.0       0.7
1955   1  11        6.1        3.5        9.3        0.1        1.5    32766.0       85.0        0.2     1010.5    32766.0    32766.0   32766.0       1.1
1955   1  12        0.0        3.5        6.1        0.4        1.3    32766.0       86.0        0.0     1005.0    32766.0    32766.0   32766.0       0.5
1955   1  13        0.0        5.3        6.5        4.5        0.5    32766.0       85.0        0.0     1009.8    32766.0    32766.0   32766.0       0.4
1955   1  14        0.0        5.6        7.5        3.8        0.8    32766.0       86.0        0.0     1010.4    32766.0    32766.0   32766.0       0.6
1955   1  15        0.0        5.8        7.1        4.5        0.8    32766.0       90.0        0.1     1015.1    32766.0    32766.0   32766.0       0.4
1955   1  16        0.0        5.1        9.2        2.8        1.5    32766.0       91.0        0.0     1011.0    32766.0    32766.0   32766.0       0.6
1955   1  17        0.0        4.4        9.1        1.5        0.8    32766.0       95.0        0.1     1007.5    32766.0    32766.0   32766.0       0.5
1955   1  18        0.0        7.0        9.1        5.2        1.5    32766.0       86.0        0.0     1004.4    32766.0    32766.0   32766.0       0.5
1955   1  19        0.0        6.9       10.4        4.5        0.5    32766.0       91.0        0.1     1006.9    32766.0    32766.0   32766.0       0.5
1955   1  20        5.6        8.1       11.7        4.4        1.0    32766.0       76.0        0.0     1007.6    32766.0    32766.0   32766.0       1.1
1955   1  21        5.5        7.0       13.7        1.0        0.5    32766.0       83.0        0.1     1000.4    32766.0    32766.0   32766.0       1.3
1955   1  22        0.0        8.1        9.5        5.3        0.3    32766.0       92.0        0.0      998.0    32766.0    32766.0   32766.0       0.2
1955   1  23        0.0        8.3       10.3        7.2        0.3    32766.0       89.0        0.0      996.4    32766.0    32766.0   32766.0       0.5
1955   1  24        0.0        8.1        9.1        6.8        0.3    32766.0       91.0        0.1      996.4    32766.0    32766.0   32766.0       0.1
1955   1  25        0.0        8.9       12.0        7.0        0.8    32766.0       88.0        0.0      996.2    32766.0    32766.0   32766.0       0.8
1955   1  26        0.0        8.9       10.6        8.0        1.5    32766.0       92.0        0.4      998.7    32766.0    32766.0   32766.0       0.0
1955   1  27        0.0        8.5       10.6        7.0        1.5    32766.0       80.0        0.1      998.5    32766.0    32766.0   32766.0       1.3
1955   1  28        0.0        9.0       11.9        6.0        1.5    32766.0       81.0        0.0      998.8    32766.0    32766.0   32766.0       1.0
