YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1960   2  16    32766.0        9.2       11.9        8.3        1.8    32766.0       92.0        2.4    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  17    32766.0        9.1       10.9        7.8        2.1    32766.0       95.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  18    32766.0        7.9        9.8        5.9        1.8    32766.0       85.0        4.7    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  19    32766.0        7.0        9.6        4.2        1.2    32766.0       89.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  20    32766.0        8.5       14.4        4.7        2.0    32766.0       84.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  21    32766.0        9.0       15.1        2.1        0.6    32766.0       83.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  22    32766.0       11.4       19.2        7.2        1.7    32766.0       80.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  23    32766.0       11.2       18.6        5.4        2.3    32766.0       74.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  24    32766.0       12.3       16.6        8.9        0.4    32766.0       81.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  25    32766.0       12.9       21.5        6.4        1.2    32766.0       79.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  26    32766.0       10.4       16.0        7.6        5.2    32766.0       89.0       24.1    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  27    32766.0        7.2        8.4        6.2        2.3    32766.0       92.0        4.3    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  28    32766.0        8.1        9.9        7.0        1.8    32766.0       92.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   2  29    32766.0        9.3       13.1        6.2        2.5    32766.0       84.0        0.0    32766.0    32766.0    32766.0   32766.0   32766.0
1960   3   1    32766.0       10.2       14.9        5.3        1.7    32766.0       77.0        0.0      969.0    32766.0    32766.0   32766.0       1.6
1960   3   2    32766.0       11.4       13.9        9.3        2.6    32766.0       87.0        0.0      971.4    32766.0    32766.0      11.2       1.4
1960   3   3    32766.0       10.9       12.4        9.7        2.6    32766.0       92.0        0.0      971.4    32766.0    32766.0      11.4       0.7
1960   3   4    32766.0       11.6       17.6        6.2        1.4    32766.0       87.0        0.1      969.7    32766.0    32766.0      15.7       1.9
