YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1958   2  17        0.0        4.2        6.7        1.8        2.8    32766.0       81.0        2.8    32766.0    32766.0    32766.0   32766.0       1.4
1958   2  18        6.3        5.9       12.2        1.9        1.3    32766.0       74.0        0.0    32766.0    32766.0    32766.0   32766.0       2.7
1958   2  19        0.0        4.8        8.9        0.4        1.5    32766.0       81.0        0.0    32766.0    32766.0    32766.0   32766.0       1.2
1958   2  20        0.0        6.9        9.6        5.2        1.8    32766.0       84.0        0.1    32766.0    32766.0    32766.0   32766.0       1.2
1958   2  21        0.4        7.5       11.3        5.2        0.8    32766.0       83.0        0.5    32766.0    32766.0    32766.0   32766.0       1.2
1958   2  22        0.4        8.5       13.5        6.4        1.0    32766.0       90.0        0.9    32766.0    32766.0    32766.0   32766.0       1.1
1958   2  23        1.9       10.9       15.0        9.2        3.8    32766.0       79.0        0.0    32766.0    32766.0    32766.0   32766.0       2.6
1958   2  24        8.6       10.5       19.6        4.2        1.5    32766.0       65.0        0.0    32766.0    32766.0    32766.0   32766.0       5.0
1958   2  25        7.7       12.7       22.4        4.9        2.3    32766.0       73.0        0.0    32766.0    32766.0    32766.0   32766.0       4.1
1958   2  26        9.1       17.2       27.1        8.6        2.8    32766.0       64.0        0.0    32766.0    32766.0    32766.0   32766.0       7.3
1958   2  27        6.4       14.4       20.8       12.0        4.3    32766.0       72.0        0.0    32766.0    32766.0    32766.0   32766.0       5.0
1958   2  28        0.0        6.4       14.0        4.2        3.0    32766.0       87.0        0.2    32766.0    32766.0    32766.0   32766.0       1.3
1958   3   1        0.0        6.2        8.4        4.4        4.8    32766.0       86.0        1.0    32766.0    32766.0    32766.0   32766.0       1.8
1958   3   2        0.0        6.8        8.8        5.7        3.8    32766.0       75.0        0.0    32766.0    32766.0    32766.0   32766.0       2.1
1958   3   3        0.0        5.9        7.8        4.9        1.0    32766.0       90.0        0.4    32766.0    32766.0    32766.0   32766.0       0.9
1958   3   4        0.0        5.9        7.8        4.0        2.0    32766.0       95.0        1.1    32766.0    32766.0    32766.0   32766.0       0.8
1958   3   5        1.4       10.2       18.7        6.8        3.5    32766.0       92.0        0.7    32766.0    32766.0    32766.0   32766.0       2.0
