Station_ID,year,data_PSP,photoeffect,daily_thermal_PSP,daily_photothermal
56280,1986,1986-06-02,0.012116923043361521,11.557771655825693,0.14004462970638498
56280,1986,1986-06-03,0.01209499567604314,14.432091826392277,0.17455608823647215
56280,1986,1986-06-04,0.012074049328068829,8.962776234410176,0.10821700237071145
56280,1986,1986-06-05,0.01205410701924184,7.538322534817853,0.09086774658025683
56280,1986,1986-06-06,0.012035190865205964,4.3343183583771605,0.05216434871363531
56280,1986,1986-06-07,0.012017322019892454,4.551518305365205,0.054697061155008865
56280,1986,1986-06-08,0.012000520619615587,5.233970937032425,0.06281037615232633
56280,1986,1986-06-09,0.011984805729093762,6.730121619152501,0.08065920013871669
56280,1986,1986-06-10,0.011970195289669158,9.406749641756068,0.11260063025284553
56280,1986,1986-06-11,0.011956706069992374,14.752723254888348,0.17639397569064116
56280,1986,1986-06-12,0.011944353619430597,14.752723254888348,0.17621174340598358
56280,1986,1986-06-13,0.011933152224446894,14.59247255424495,0.17413419632086838
56280,1986,1986-06-14,0.011923114868185937,8.816375083042733,0.10511865283613082
56280,1986,1986-06-15,0.011914253193486738,9.25798391409844,0.11030196441379621
56280,1986,1986-06-16,0.011906577469526532,14.91281167146778,0.17756054745479058
56280,1986,1986-06-17,0.011900096562281505,13.308425140285559,0.15837154426129293
56280,1986,1986-06-18,0.011894817908970233,10.314272743523066,0.1226863961476617
56280,1986,1986-06-19,0.011890747496624056,7.9560385627198835,0.0946032456227059
56280,1986,1986-06-20,0.011887889844905972,6.995336939442937,0.08315979496409931
56280,1986,1986-06-21,0.011886247993275615,10.931869469891527,0.12993891154924914
56280,1986,1986-06-22,0.011885823492573078,12.827989890816463,0.15247122360675627
56280,1986,1986-06-23,0.01188661640106896,12.827989890816463,0.1524813950289258
56280,1986,1986-06-24,0.011888625285001923,14.271612992796545,0.16966985908392296
56280,1986,1986-06-25,0.011891847223599202,15.072705211631767,0.17924230762307244
56280,1986,1986-06-26,0.011896277818549147,15.868085535150747,0.1887711539746544
56280,1986,1986-06-27,0.011901911207869393,14.752723254888348,0.17558560225395106
56280,1986,1986-06-28,0.011908740084088874,17.576601153682283,0.20931517470089894
56280,1986,1986-06-29,0.011916755716637523,18.17648404770651,0.21660472018387728
56280,1986,1986-06-30,0.01192594797831408,16.026106575564103,0.1911265133150947
56280,1986,1986-07-01,0.011936305375680007,16.340816097314985,0.19504897102537924
56280,1986,1986-07-02,0.011947815083206994,14.91281167146778,0.17817551622138805
56280,1986,1986-07-03,0.01196046298098579,13.148125216858908,0.15725766492560675
56280,1986,1986-07-04,0.011974233695787062,13.148125216858908,0.15743872400813952
56280,1986,1986-07-05,0.011989110645248722,16.026106575564103,0.19213876494698612
56280,1986,1986-07-06,0.012005076084950887,16.340816097314985,0.1961727405384566
56280,1986,1986-07-07,0.012022111158127603,14.271612992796545,0.17157491780517822
56280,1986,1986-07-08,0.012040195947754963,17.118146656369298,0.2061058400050928
56280,1986,1986-07-09,0.012059309530747854,12.987970497852988,0.15662595640983049
56280,1986,1986-07-10,0.012079430033991954,10.467808765108733,0.12644516358733865
56280,1986,1986-07-11,0.01210053469193477,14.111067639642203,0.17075146351372855
56280,1986,1986-07-12,0.012122599905457962,10.931869469891527,0.1325226798021858
56280,1986,1986-07-13,0.01214560130175441,12.190375030891124,0.1480594348440657
56280,1986,1986-07-14,0.012169513794936117,17.42453240502543,0.21204808747326837
56280,1986,1986-07-15,0.012194311647103797,10.776630860960472,0.1314135952243485
56280,1986,1986-07-16,0.012219968529615434,13.148125216858908,0.16066967637345897
56280,1986,1986-07-17,0.012246457584298978,14.91281167146778,0.1826291155972689
56280,1986,1986-07-18,0.01227375148436402,12.987970497852988,0.1594111221768992
56280,1986,1986-07-19,0.01230182249477793,13.789902043614031,0.16964092716091522
56280,1986,1986-07-20,0.012330642531883925,13.629343297635177,0.16805856014746742
56280,1986,1986-07-21,0.01236018322205164,12.827989890816463,0.15855630542111768
56280,1986,1986-07-22,0.012390415959164357,15.072705211631767,0.18675708720198203
56280,1986,1986-07-23,0.012421311960761688,12.508664970897277,0.1553740298161671
56280,1986,1986-07-24,0.012452842322671584,12.508664970897277,0.15576843254970912
56280,1986,1986-07-25,0.012484978071980676,14.752723254888348,0.1841874263392804
56280,1986,1986-07-26,0.01251769021820791,15.391775615161889,0.192669479058763
56280,1986,1986-07-27,0.012550949802561778,16.026106575564103,0.2011428591604103
56280,1986,1986-07-28,0.012584727945177359,14.432091826392277,0.18162394931496464
56280,1986,1986-07-29,0.012618995890244667,14.59247255424495,0.1841423511905251
56280,1986,1986-07-30,0.012653725048955032,13.950487017936789,0.17652562702398875
56280,1986,1986-07-31,0.012688887040206955,16.809014727200946,0.21328768913062793
56280,1986,1986-08-01,0.012724453729027287,16.65351198804799,0.21190684271771784
56280,1986,1986-08-02,0.012760397262677053,16.18369518975678,0.2065103797993722
56280,1986,1986-08-03,0.012796690104424524,12.031686895664562,0.15396576863728492
56280,1986,1986-08-04,0.012833305064980408,14.432091826392277,0.18521143713390237
56280,1986,1986-08-05,0.01287021533160168,13.950487017936789,0.17954577190156024
56280,1987,1987-05-29,0.012213953992444921,10.314272743523066,0.12597805275491938
56280,1987,1987-05-30,0.012188348745696083,12.987970497852988,0.1583019139266442
56280,1987,1987-05-31,0.012163624590648169,13.148125216858908,0.1599288592087063
56280,1987,1987-06-01,0.01213980756498412,14.111067639642203,0.171305645681731
56280,1987,1987-06-02,0.012116923043361521,14.111067639642203,0.17098272064921366
