Date,TemAver,SID,year,season
1986-10-21,15.0,56280,1986,1
1986-10-22,14.1,56280,1986,1
1986-10-23,14.1,56280,1986,1
1986-10-24,15.2,56280,1986,1
1986-10-25,14.4,56280,1986,1
1986-10-26,16.8,56280,1986,1
1986-10-27,15.9,56280,1986,1
1986-10-28,8.6,56280,1986,1
1986-10-29,8.8,56280,1986,1
1986-10-30,9.5,56280,1986,1
1986-10-31,10.2,56280,1986,1
1986-11-01,12.3,56280,1986,1
1986-11-02,12.1,56280,1986,1
1986-11-03,14.9,56280,1986,1
1986-11-04,13.7,56280,1986,1
1987-05-23,26.1,56280,1987,1
1987-05-24,25.8,56280,1987,1
1987-05-25,20.0,56280,1987,1
1987-05-26,19.8,56280,1987,1
1987-05-27,19.0,56280,1987,1
1987-05-28,19.6,56280,1987,1
1987-05-29,22.0,56280,1987,1
1987-05-30,23.7,56280,1987,1
1987-05-31,23.8,56280,1987,1
1987-06-01,24.4,56280,1987,1
1987-06-02,24.4,56280,1987,1
1987-06-03,26.2,56280,1987,1
1987-06-04,27.1,56280,1987,1
1987-06-05,22.6,56280,1987,1
1987-06-06,20.6,56280,1987,1
1987-06-07,21.8,56280,1987,1
1987-06-08,22.6,56280,1987,1
1987-06-09,22.5,56280,1987,1
1987-06-10,21.0,56280,1987,1
1987-06-11,20.3,56280,1987,1
1987-06-12,20.8,56280,1987,1
1987-06-13,20.4,56280,1987,1
1987-06-14,20.6,56280,1987,1
1987-06-15,21.8,56280,1987,1
1987-06-16,20.3,56280,1987,1
1987-06-17,20.0,56280,1987,1
1987-06-18,19.9,56280,1987,1
1987-06-19,19.8,56280,1987,1
1987-06-20,20.3,56280,1987,1
1987-06-21,21.9,56280,1987,1
1987-06-22,24.6,56280,1987,1
1987-06-23,25.2,56280,1987,1
1987-06-24,24.3,56280,1987,1
1987-06-25,24.5,56280,1987,1
1987-06-26,21.6,56280,1987,1
1987-06-27,22.3,56280,1987,1
1987-06-28,24.3,56280,1987,1
1987-06-29,22.9,56280,1987,1
1987-06-30,22.5,56280,1987,1
1987-07-01,22.2,56280,1987,1
1987-07-02,23.1,56280,1987,1
1987-07-03,23.1,56280,1987,1
1987-07-04,23.7,56280,1987,1
1987-07-05,22.6,56280,1987,1
1987-07-06,25.5,56280,1987,1
1987-07-07,25.7,56280,1987,1
1987-07-08,23.2,56280,1987,1
1987-07-09,23.4,56280,1987,1
1987-07-10,21.6,56280,1987,1
1987-07-11,24.1,56280,1987,1
1987-07-12,25.7,56280,1987,1
1987-07-13,25.1,56280,1987,1
1987-07-14,24.8,56280,1987,1
1987-07-15,23.7,56280,1987,1
1987-07-16,22.1,56280,1987,1
1987-07-17,22.7,56280,1987,1
1987-07-18,23.6,56280,1987,1
1987-07-19,25.5,56280,1987,1
1987-07-20,25.9,56280,1987,1
1987-07-21,25.6,56280,1987,1
1987-07-22,26.2,56280,1987,1
1987-07-23,25.9,56280,1987,1
1987-07-24,26.0,56280,1987,1
1987-07-25,26.0,56280,1987,1
1987-07-26,24.7,56280,1987,1
1987-07-27,22.0,56280,1987,1
1987-07-28,22.4,56280,1987,1
1987-07-29,24.3,56280,1987,1
1987-07-30,26.5,56280,1987,1
1987-07-31,27.7,56280,1987,1
1987-08-01,24.9,56280,1987,1
1987-08-02,25.3,56280,1987,1
1987-08-03,23.1,56280,1987,1
1987-08-04,25.3,56280,1987,1
1987-08-05,27.1,56280,1987,1
1987-08-06,22.9,56280,1987,1
1987-08-07,24.8,56280,1987,1
1987-08-08,25.3,56280,1987,1
1987-08-09,25.7,56280,1987,1
1987-08-10,23.3,56280,1987,1
1987-08-11,21.7,56280,1987,1
1987-08-12,20.3,56280,1987,1
1987-08-13,21.0,56280,1987,1
1987-08-14,22.7,56280,1987,1
1987-08-15,24.5,56280,1987,1
1987-08-16,24.6,56280,1987,1
1987-08-17,23.9,56280,1987,1
1987-08-18,24.7,56280,1987,1
1987-08-19,23.7,56280,1987,1
1987-08-20,24.5,56280,1987,1
1987-08-21,23.9,56280,1987,1
1987-08-22,22.9,56280,1987,1
1987-08-23,23.3,56280,1987,1
1987-08-24,23.2,56280,1987,1
1987-08-25,24.2,56280,1987,1
1987-08-26,24.4,56280,1987,1
1987-08-27,25.1,56280,1987,1
1987-08-28,24.5,56280,1987,1
1987-08-29,25.8,56280,1987,1
1987-08-30,22.6,56280,1987,1
1987-08-31,23.0,56280,1987,1
1987-09-01,20.9,56280,1987,1
1987-09-02,19.8,56280,1987,1
1987-09-03,21.4,56280,1987,1
1987-09-04,23.4,56280,1987,1
1987-09-05,23.0,56280,1987,1
1987-09-06,22.3,56280,1987,1
1987-09-07,20.9,56280,1987,1
