Station_ID,year,cumumlate_thermal_PSP,cumumlate_photothermal
56280,1986,847.5281097094532,10.319730363929107
56280,1987,781.2484856337235,9.47380718002188
56280,1988,819.1897654573427,9.953388871948752
56280,1989,768.2819578847735,9.359264349609587
56280,1990,818.1740640516151,9.930197464758058
56491,1986,996.9805244409042,12.246340642645038
56491,1987,824.0183990918712,10.144555276143981
56491,1988,799.622128302867,9.79701727040039
56491,1989,846.5771586521066,10.387087065124064
56491,1990,936.1476401009503,11.539437744421212
56844,1986,897.3964194058574,11.550186800984267
56844,1987,893.9671669434597,11.568490656487981
56844,1988,870.9607911122649,11.316301282354429
56844,1989,839.5996453711734,10.894908716133854
56844,1990,845.0239656164058,11.017196088384907
56844,1991,849.9969475461818,10.9354961258691
56946,1986,684.4229669336562,9.169807740486007
56946,1987,799.833315924531,10.426186849750863
56946,1988,843.7275656005216,10.996090991155034
56946,1991,799.5343403837944,10.320870293430165
56946,1992,882.9192551032623,11.40867781129239
57206,1986,1042.9830444527777,12.477155299378497
57206,1987,1070.265179433216,12.856385851584196
57206,1988,997.2088730064961,11.864214582525632
57206,1989,902.9162079662684,10.784408287251729
57206,1990,1056.6242464286258,12.541660140872635
57249,1989,822.4660560310319,9.944447478284413
57249,1990,1019.8024507797073,12.312995944609046
57249,1991,808.012094385951,9.729412232521135
57249,1992,923.0867871087494,11.174116677442814
57249,1993,926.2291870747545,11.097979926992771
57249,1997,945.277691289601,11.227373792500487
57249,1998,1065.8574868129465,12.683782207928713
57249,1999,1025.10070802421,12.233262023199503
57249,2000,998.2616100384662,11.94873263122674
57249,2001,907.5164034573181,10.832809086682653
57251,1991,985.0555525458452,11.842767872847837
57251,1992,946.6343932945116,11.59464685105206
57251,1993,1011.0116356219793,12.189283173573079
57251,1994,1055.1914102186956,12.570286522673129
57251,1995,1090.6717036625673,13.19818170210226
57251,1996,907.7395072406833,11.162018497038268
57251,1997,1100.590643034511,13.211657301873688
57251,1998,1228.929102700869,14.675393734125686
57251,1999,1198.4632611558604,14.33769584155983
57251,2000,986.4041889666196,11.848748634211672
57251,2001,1264.1947138895205,15.039279942049857
57259,1988,1079.4382888216355,13.004022108783296
57259,1989,958.5502410288971,11.567401660890555
57259,1990,966.8720135128567,11.608605731727891
57259,1991,890.1183529886811,10.793800092559446
57259,1992,933.9261437088737,11.3985928868018
57259,1993,913.7552741619429,11.063209173271735
57259,1994,1035.945092019274,12.532176433225597
57259,1995,989.7732403954752,11.95942612297042
57259,1996,904.1397996243318,10.97918551785598
57259,1997,856.6351360234206,10.24480332587
57259,1998,987.1885279579151,11.77334557258762
57259,1999,953.7035775026608,11.478547965874677
57259,2000,908.0719897447067,10.828941034790017
57268,1989,988.056987386986,11.82947807515217
57268,1990,1078.1176832075685,12.795804263869192
57268,1991,846.4839287375733,10.148707438612972
57268,1992,1067.953257634667,13.007060666442719
57268,1993,1048.826404223758,12.583465045378434
57268,1994,1322.2779417164684,15.934675712363886
57268,1995,1189.530714310199,14.186701870713776
57268,1996,1022.6178117726135,12.320431679774797
57268,1997,1179.7845272079226,14.063526404531782
57268,1998,1157.1242451661371,13.78393116900477
57268,1999,1055.8242246978475,12.61285452335952
57268,2000,1283.6756455804864,15.437164101432153
57268,2001,1199.0210954832353,14.364802853333764
57313,1986,1027.1039060673668,12.16089403917145
57313,1987,975.3498047132072,11.557808647617888
57313,1988,988.2515426828157,11.67823069309549
57313,1989,921.7729856470869,10.944075819190079
57313,1990,969.2420972316638,11.458965076400109
57378,1987,1116.0147149976608,13.663709136307332
57378,1988,1325.6669123207591,16.17724383936611
57378,1989,1077.3631097402629,13.263438908032922
57378,1990,1226.2779849761394,15.035474474013055
57378,1991,1151.9868538699377,14.142141754005046
57378,1992,1207.419376875856,14.882120102961915
57378,1993,1079.4998735606277,13.183849482996203
57378,1994,1193.163341689767,14.446175999721968
57378,1995,1126.7432930272712,13.70664208666851
57378,1996,1109.446848717886,13.712891121594174
57378,1997,1183.0287205311245,14.388456868370296
57378,1998,1318.8573143064314,16.07217166673776
57378,1999,1178.6910782958653,14.402844584318377
57378,2000,1252.5338049787408,15.319504700036315
57381,1987,1065.7139693449076,12.97783539399002
57381,1988,1352.0654731020043,16.478121837017728
57381,1989,1089.7833854192804,13.24117121214415
57381,1990,1156.548077348537,13.877334939535128
57381,1991,1052.4501512164172,12.646951168580305
57381,1992,998.6378335659646,12.017721527385715
57381,1993,1107.4990495934724,13.378422353425334
57381,1994,1243.1163292818867,15.011620470203159
57381,1995,1159.268043720083,14.028773082187824
57381,1996,1083.7846059107405,13.00338301870423
57420,1986,942.7484807275323,11.344655028267242
57420,1987,869.9029465814268,10.489197414831615
57420,1988,944.1250667189536,11.341622219281051
57420,1989,926.4610110157788,11.22168124258497
57420,1990,920.4810009676477,11.041492975708245
57460,1989,1069.8660233323858,12.996863786766108
57460,1994,1281.4067301514172,15.491550536116423
57460,1995,1108.4851752993916,13.353055754033484
57476,1989,1117.5349881752122,13.572067685250545
57476,1999,1113.43536233905,13.528286793738411
57482,1992,1070.3684305229747,13.224869300629253
57482,1993,1102.241856987641,13.322598282681257
57482,1994,1243.5699841854498,15.127405426894327
57482,1996,881.862992109076,10.821924067229029
57482,1997,1173.6122721500717,14.30051163142617
57482,1998,1176.281072585667,14.230559308880936
57482,1999,1070.7784229739257,13.148962127540797
57517,1987,1044.028673850929,12.884331056220606
57517,1990,844.0977932859863,10.267110643526463
57517,1991,931.3445089793372,11.374460852739917
57517,1992,836.7831285596203,10.197481507005536
57517,1993,947.1202593068924,11.5701503059636
