Station_ID,year,data_RGP,daily_thermal_RGP
56280,1986,1986-08-06,16.963905271426533
56280,1986,1986-08-07,17.271701580507653
56280,1986,1986-08-08,15.232370947422021
56280,1986,1986-08-09,15.391775615161889
56280,1986,1986-08-10,17.118146656369298
56280,1986,1986-08-11,19.187861018828443
56280,1986,1986-08-12,18.761047808806268
56280,1986,1986-08-13,17.87829883054631
56280,1986,1986-08-14,16.4974336812845
56280,1986,1986-08-15,10.467808765108733
56280,1986,1986-08-16,9.25798391409844
56280,1986,1986-08-17,11.557771655825693
56280,1986,1986-08-18,7.815835729261858
56280,1986,1986-08-19,12.827989890816463
56280,1986,1986-08-20,13.950487017936789
56280,1986,1986-08-21,13.789902043614031
56280,1986,1986-08-22,7.9560385627198835
56280,1986,1986-08-23,5.961015899812291
56280,1986,1986-08-24,8.816375083042733
56280,1986,1986-08-25,7.9560385627198835
56280,1986,1986-08-26,8.962776234410176
56280,1986,1986-08-27,9.25798391409844
56280,1986,1986-08-28,10.776630860960472
56280,1986,1986-08-29,10.776630860960472
56280,1986,1986-08-30,8.670802369191323
56280,1986,1986-08-31,11.40060374649664
56280,1986,1986-09-01,14.111067639642203
56280,1986,1986-09-02,11.715358806624982
56280,1986,1986-09-03,6.730121619152501
56280,1986,1986-09-04,9.25798391409844
56280,1986,1986-09-05,7.538322534817853
56280,1986,1986-09-06,8.382220190715078
56280,1987,1987-07-31,19.187861018828443
56280,1987,1987-08-01,14.91281167146778
56280,1987,1987-08-02,15.550885615343216
56280,1987,1987-08-03,12.031686895664562
56280,1987,1987-08-04,15.550885615343216
56280,1987,1987-08-05,18.324160954411397
56280,1987,1987-08-06,11.715358806624982
56280,1987,1987-08-07,14.752723254888348
56280,1987,1987-08-08,15.550885615343216
56280,1987,1987-08-09,16.18369518975678
56280,1987,1987-08-10,12.349376801420535
56280,1987,1987-08-11,9.857442575803459
56280,1987,1987-08-12,7.815835729261858
56280,1987,1987-08-13,8.816375083042733
56280,1987,1987-08-14,11.40060374649664
56280,1987,1987-08-15,14.271612992796545
56280,1987,1987-08-16,14.432091826392277
56280,1987,1987-08-17,13.308425140285559
56280,1987,1987-08-18,14.59247255424495
56280,1987,1987-08-19,12.987970497852988
56280,1987,1987-08-20,14.271612992796545
56280,1987,1987-08-21,13.308425140285559
56280,1987,1987-08-22,11.715358806624982
56280,1987,1987-08-23,12.349376801420535
56280,1987,1987-08-24,12.190375030891124
56280,1987,1987-08-25,13.789902043614031
56280,1987,1987-08-26,14.111067639642203
56280,1987,1987-08-27,15.232370947422021
56280,1987,1987-08-28,14.271612992796545
56280,1987,1987-08-29,16.340816097314985
56280,1987,1987-08-30,11.24388064571581
56280,1987,1987-08-31,11.873339298098111
56280,1987,1987-09-01,8.670802369191323
56280,1987,1987-09-02,7.129537444711468
56280,1987,1987-09-03,9.406749641756068
56280,1987,1987-09-04,12.508664970897277
56280,1988,1988-08-03,15.391775615161889
56280,1988,1988-08-04,13.789902043614031
56280,1988,1988-08-05,15.868085535150747
56280,1988,1988-08-06,14.91281167146778
56280,1988,1988-08-07,16.65351198804799
56280,1988,1988-08-08,11.087627586905416
56280,1988,1988-08-09,16.026106575564103
56280,1988,1988-08-10,16.026106575564103
56280,1988,1988-08-11,12.668211968890875
56280,1988,1988-08-12,13.148125216858908
56280,1988,1988-08-13,12.031686895664562
56280,1988,1988-08-14,9.25798391409844
56280,1988,1988-08-15,8.526077660316183
56280,1988,1988-08-16,12.987970497852988
56280,1988,1988-08-17,13.468841026088265
56280,1988,1988-08-18,11.715358806624982
56280,1988,1988-08-19,12.987970497852988
56280,1988,1988-08-20,15.391775615161889
56280,1988,1988-08-21,11.40060374649664
56280,1988,1988-08-22,11.557771655825693
56280,1988,1988-08-23,9.706500372411451
56280,1988,1988-08-24,7.2647792018290875
