Station_ID,year,cumumlate_thermal_PSP,cumumlate_photothermal,cumumlate_thermal_RGP
57482,1996,881.8629921,10.82192407,529.3462145
57482,1997,1173.612272,14.30051163,477.7623523
57482,1998,1176.281073,14.23055931,522.2494608
57482,1999,1070.778423,13.14896213,533.5892786
57517,1987,1044.028674,12.88433106,548.729613
57517,1990,844.0977933,10.26711064,575.4274208
57517,1991,931.344509,11.37446085,549.7319181
57517,1992,836.7831286,10.19748151,584.4405257
57517,1993,947.1202593,11.57015031,524.8765638
57523,1988,1012.592631,12.24881331,664.5867287
57523,1989,866.1278623,10.4723463,543.9635591
57523,1990,835.4714179,10.06732983,605.5729392
57523,1991,881.2263762,10.62319377,518.9211554
57523,1992,927.9301853,11.23643284,562.9904127
57545,1985,1025.074062,12.56647689,444.5717593
57545,1986,1068.137954,13.11018151,377.255628
57545,1987,960.087665,11.7354231,535.5899347
57545,1988,1121.739739,13.77063098,369.2238801
57545,1989,890.3813229,10.99384598,397.7380744
57545,1990,875.5496636,10.67673585,462.8596878
57554,1986,981.712979,12.04318721,510.9471911
57554,1987,951.2566245,11.66771798,572.5603231
57554,1988,1185.359231,14.6521588,483.9563913
57554,1989,1118.281213,13.9009518,431.6597076
57581,1994,1092.894748,13.51389205,581.5789513
57581,1995,1221.157864,15.30147247,502.1686579
57581,1996,1280.237717,16.28975465,439.8852377
57581,1997,1051.480577,13.0698439,588.4752247
57581,1998,1230.977516,15.25648669,600.6659818
57590,1991,1135.932106,14.0089542,610.7769482
57590,1998,1008.35973,12.34683934,607.1097021
57646,1990,1075.750058,13.29750857,652.2911662
57696,1990,1187.741177,15.8462548,322.2767887
57717,1987,789.7473971,9.91272376,459.9069675
57717,1988,951.2743466,12.05692733,377.7449442
57717,1989,906.194556,11.43375631,486.6272695
57717,1991,870.3970927,10.93843855,462.1342823
57717,1992,863.8783299,10.89870701,496.1713137
57717,1993,896.9262535,11.31460884,375.4041745
57749,1988,1198.082829,14.96657097,635.8557704
57749,1989,1046.86011,13.08083332,634.1116144
57749,1990,1092.882633,13.60798299,648.7964752
57749,1993,1084.799089,13.59837838,520.5606892
57749,1998,1031.513635,12.81115288,691.373345
57749,1999,963.2881338,11.98707945,583.4503239
57789,1989,876.4655857,11.97875196,339.8813466
57841,1990,1090.704639,13.71744662,545.4539574
57841,1993,1097.6789,13.81774218,572.9361569
57841,1994,986.7775797,12.40466159,560.3083448
57841,1995,1180.28152,14.8725532,524.4095809
57841,1996,1162.938805,14.6787582,548.494281
57841,1997,1038.022597,13.08944578,537.3709497
57841,1999,1006.275894,12.65648204,541.277093
57841,2004,1069.988031,13.45793804,535.2499449
57841,2005,1156.552002,14.53290605,523.9202482
57841,2010,1111.809921,14.02160861,664.4088606
57889,1988,1074.729106,13.70876613,435.3321324
57889,1989,933.8104139,11.86498241,445.7727008
57889,1990,963.9526515,12.25029067,516.6829239
57889,1991,944.5851794,11.9995407,490.472977
57889,1992,972.2813144,12.42328766,469.2765657
57889,1993,970.0609087,12.35022907,484.9613477
57889,1994,873.0636219,11.07159831,468.8779254
57889,1995,985.223447,12.54765199,478.2886576
57912,1988,938.1497725,12.09718546,318.3493878
57912,1989,885.2624142,11.38234494,369.7811299
57912,1990,910.5790329,11.68990831,415.2710384
57912,1991,787.1690931,10.13003471,351.6822555
57912,1993,840.7546085,10.71867161,436.0780735
57926,1987,1079.341982,13.73638987,473.3177292
57926,1987,855.818372,11.78904263,310.9927107
57926,1988,1083.077924,13.83734978,504.380217
57926,1988,734.7028658,10.18273104,324.6240598
57926,1988,821.9924055,10.57225753,438.0019639
57926,1989,707.4080424,9.139884125,400.5674731
57926,1989,919.3563809,12.69079304,340.5198499
57926,1989,932.4978901,11.84014405,630.2710702
57926,1990,1021.752308,13.00344887,583.0118249
57926,1991,979.5179359,12.48087669,575.7156273
57926,1992,1021.240576,13.07370602,475.1997351
57926,1993,1007.533009,12.8626444,596.8060799
58027,1990,1187.782995,13.9830217,531.5714313
58027,1991,1139.1225,13.54368654,446.7657564
58027,1992,1153.216148,13.6528568,441.353958
58027,1995,1139.930015,13.52264408,499.4805968
58027,1996,1195.804211,14.36297975,411.8104009
58027,1997,1306.814218,15.39128246,465.3919139
58141,1986,834.7702632,10.09375324,365.2639973
58141,1987,924.2766913,11.0298343,513.2857669
58141,1988,993.9748063,11.97659163,408.3692264
58141,1989,981.0760883,11.81971076,437.4510985
58141,1990,1020.865455,12.08879342,582.1251134
58141,1991,895.5565777,10.77768597,452.4065641
58141,1992,992.3767639,11.90114466,509.9318547
58141,1993,926.5213763,11.18852091,422.2086206
58141,1994,1171.247096,13.87478213,572.537953
58141,1995,1155.649052,13.8917758,462.5595241
58141,1996,1089.253116,13.42338217,401.4852155
58146,1990,1052.552241,12.28913007,724.2783295
58146,1991,879.5300034,10.55970548,515.7751121
58146,1992,924.8351672,11.06810063,522.3365823
58146,1993,896.6154498,10.69908061,500.1719052
58215,1990,1053.49693,12.69433546,546.3334881
58240,1986,931.3340761,11.10737533,581.4184428
58240,1987,947.9918674,11.28710391,627.3562467
58240,1988,1061.106538,12.76447637,501.3072311
58240,1989,948.3788779,11.33911775,556.1144717
58240,1990,1122.703527,13.31543534,638.3993404
58240,1991,939.8580448,11.20041194,578.2696767
58240,1992,1036.849074,12.35911469,572.0955717
58240,1993,1164.115173,13.91535303,459.5972867
58240,1995,1202.592239,14.35180438,615.3503541
58240,1996,1105.056432,13.19768228,622.1748796
58240,1998,1148.02557,13.53140971,741.4761905
58240,1999,1101.307371,13.29466843,542.1103389
58240,2000,1215.977171,14.47663026,588.342209
58243,1986,946.5134337,11.44958631,574.4702018
58243,1987,1032.352569,12.53294374,520.7835445
58243,1988,1094.931074,13.18829782,537.8612422
58243,1989,1035.82142,12.60007671,525.1704731
58243,1990,1182.058806,14.22431826,579.846996
58243,1991,1026.643009,12.51674189,521.8148929
58243,1992,1035.531297,12.57905152,530.2643727
58243,1993,979.1078818,11.88811302,504.4346994
58243,1994,1199.059604,14.35242724,633.2538577
58243,1995,1042.926443,12.68846042,561.9285411
58243,1996,1093.817648,13.56150526,480.1146075
58243,1997,1118.70501,13.50127083,544.0850539
58250,1986,1029.277187,12.47652713,494.3219081
58250,1987,978.7856604,11.84916609,519.2398264
58250,1988,999.607746,12.06151781,507.8131864
58250,1989,949.2749776,11.53128618,505.7577586
58250,1990,1063.134327,12.80983825,604.2713032
58250,1991,957.132961,11.63982534,508.6521022
58250,1992,962.8373453,11.72310451,531.2892689
58311,1989,1114.375236,13.42767188,451.2364906
58311,1990,1245.905414,14.85569999,591.1058766
58311,1991,1105.673264,13.24164657,577.6771722
58311,1994,1152.579685,13.73139701,707.7793616
58311,1995,1132.825653,13.65012762,654.9352403
58311,1996,1089.692766,13.23157826,438.6073955
58311,1997,1106.504864,13.20380049,664.5335528
58311,1998,1215.252536,14.51719796,629.9139907
58311,1999,1068.648476,12.86970423,608.1707909
58311,2000,1217.399332,14.56175108,627.2252137
58311,2001,1270.053823,15.2489072,471.4388447
58311,2004,1100.283538,13.12452115,631.8877979
58448,1991,1172.823387,14.68131889,479.385027
58448,1994,1316.193275,16.4587969,580.6997438
58448,1996,961.5323891,12.32485568,526.8505878
58529,1995,839.1883997,11.49279789,302.0080959
58824,1984,658.4697031,8.366156412,417.5214885
58824,1984,771.8630524,10.7479152,254.6545726
58824,1985,942.0804579,12.88452654,305.0553839
58824,1985,647.6050691,8.36058878,458.1927683
58824,1986,1017.272028,13.94744122,248.6774244
58824,1986,636.1968392,8.18910916,535.9315079
58824,1987,793.2765139,10.2311319,482.5491613
58824,1987,883.5238152,12.14184612,270.4150888
58824,1988,916.6152494,12.63910786,238.5211688
58824,1988,830.6178768,10.58243569,442.9959272
58824,1989,897.1455239,12.29969235,333.0661454
58824,1989,722.7225563,9.305687522,502.9340019
58836,1985,974.3574096,13.44008413,376.216351
